"","Risk.group","Num.events","Weighted.risk.group","hazard","hazard.weight","events.per.1000.people"
"Age 25",251484,160,251404,0.000634278805177301,0.00063448128181081,0.634278805177301
"Age 26",260471,146,260398,0.000558727631760222,0.000558886972765744,0.558727631760222
"Age 27",266821,190,266726,0.00070973911484326,0.000709995048718739,0.70973911484326
"Age 28",273112,153,273035.5,0.000558239320480451,0.00055840027445556,0.558239320480451
"Age 29",280143,213,280036.5,0.000757575757575758,0.000757866871610947,0.757575757575758
"Age 30",286958,190,286863,0.000659440586138559,0.000659660379061685,0.659440586138559
"Age 31",293914,198,293815,0.000670609034932634,0.000670837377838989,0.670609034932634
"Age 32",301529,211,301423.5,0.000696116921249711,0.00069636274228308,0.696116921249711
"Age 33",309254,221,309143.5,0.00071042818567571,0.000710687485629481,0.71042818567571
"Age 34",316474,256,316346,0.000803568345685058,0.000803896385292464,0.803568345685058
"Age 35",322797,262,322666,0.000805447530626989,0.000805776990453696,0.805447530626989
"Age 36",328656,292,328510,0.000880661340475135,0.000881062585616955,0.880661340475135
"Age 37",333933,304,333781,0.000901173303926626,0.000901595586926864,0.901173303926626
"Age 38",339363,316,339205,0.000920665442997407,0.000921108244793261,0.920665442997407
"Age 39",343312,333,343145.5,0.000957493609520879,0.000957968761012685,0.957493609520879
"Age 40",346121,358,345942,0.00101888349721799,0.00101941153187939,1.01888349721799
"Age 41",347952,381,347761.5,0.00107611615275765,0.00107673807710405,1.07611615275765
"Age 42",347501,389,347306.5,0.00109707568694142,0.00109771497506155,1.09707568694142
"Age 43",345228,436,345010,0.00123379581811133,0.00123461334798257,1.23379581811133
"Age 44",342844,442,342623,0.00125502221843633,0.00125586555987595,1.25502221843633
"Age 45",338371,469,338136.5,0.00134436341955604,0.00134533907421166,1.34436341955604
"Age 46",333278,486,333035,0.00140817727966806,0.00140924709669001,1.40817727966806
"Age 47",327329,547,327055.5,0.00160668286077667,0.00160808806560529,1.60668286077667
"Age 48",321085,583,320793.5,0.00173680416118019,0.00173845367080606,1.73680416118019
"Age 49",314633,589,314338.5,0.0017800208525363,0.00178178166065681,1.7800208525363
"Age 50",308212,679,307872.5,0.00208097729313584,0.0020834388093408,2.08097729313584
"Age 51",302337,654,302010,0.00202867441326641,0.002031040131676,2.02867441326641
"Age 52",295955,731,295589.5,0.00229878551167632,0.00230185833337269,2.29878551167632
"Age 53",288660,834,288243,0.00266801453652045,0.00267205349233226,2.66801453652045
"Age 54",282605,816,282197,0.00264280370381166,0.00264692716409002,2.64280370381166
"Age 55",275167,940,274697,0.00309717893127558,0.00310285297428263,3.09717893127558
"Age 56",267751,970,267266,0.00325119322142972,0.0032576243522533,3.25119322142972
"Age 57",259294,1023,258782.5,0.00350230919604373,0.00350971088627919,3.50230919604373
"Age 58",250924,1065,250391.5,0.00371993922352818,0.00372857382926283,3.71993922352818
"Age 59",242843,1182,242252,0.00421414412230288,0.00422540497932876,4.21414412230288
"Age 60",234424,1310,233769,0.00477546214443768,0.00478997250336395,4.77546214443768
"Age 61",225175,1283,224533.5,0.00479773238899401,0.00481294054536656,4.79773238899401
"Age 62",216030,1376,215342,0.00527898839850224,0.00529762569348461,5.27898839850224
"Age 63",206965,1421,206254.5,0.0055984555984556,0.00562011058289366,5.5984555984556
"Age 64",197604,1508,196850,0.00611849098861506,0.0061447437584806,6.11849098861506
"Age 65",188073,1589,187278.5,0.00665346302491804,0.00668555789066231,6.65346302491804
"Age 66",178245,1593,177448.5,0.00690698763419414,0.00694249236783443,6.90698763419414
"Age 67",168230,1625,167417.5,0.00732407570164645,0.00736507188310158,7.32407570164645
"Age 68",158489,1731,157623.5,0.00812771452048362,0.0081804519806051,8.12771452048363
"Age 69",148248,1821,147337.5,0.00896845526853653,0.00903220046425808,8.96845526853653
"Age 70",138550,1853,137623.5,0.00956372288429082,0.00963746388551546,9.56372288429082
"Age 71",130312,2009,129307.5,0.0108066528961184,0.0109002322199796,10.8066528961184
"Age 72",122048,2022,121037,0.0113633809149151,0.0114727635345417,11.3633809149151
"Age 73",115148,2156,114070,0.0126177795985252,0.0127498521584861,12.6177795985252
"Age 74",108230,2207,107126.5,0.0134803322746152,0.0136350297320256,13.4803322746152
